time_s,envelope_v,label,event
0.00,0.3925,rest,rest
0.02,0.3881,rest,rest
0.04,0.4113,rest,rest
0.06,0.3764,rest,rest
0.08,0.3602,rest,rest
0.10,0.3842,rest,rest
0.12,0.3756,rest,rest
0.14,0.3632,rest,rest
0.16,0.4000,rest,rest
0.18,0.3537,rest,rest
0.20,0.3847,rest,rest
0.22,0.3542,rest,rest
0.24,0.3885,rest,rest
0.26,0.4010,rest,rest
0.28,0.3789,rest,rest
0.30,0.3554,rest,rest
0.32,0.4345,rest,rest
0.34,0.3874,rest,rest
0.36,0.3652,rest,rest
0.38,0.3890,rest,rest
0.40,0.3544,rest,rest
0.42,0.3820,rest,rest
0.44,0.4071,rest,rest
0.46,0.3636,rest,rest
0.48,0.3947,rest,rest
0.50,0.4177,rest,rest
0.52,0.4340,rest,rest
0.54,0.4043,rest,rest
0.56,0.3511,rest,rest
0.58,0.3933,rest,rest
0.60,0.3434,rest,rest
0.62,0.3686,rest,rest
0.64,0.3840,rest,rest
0.66,0.3771,rest,rest
0.68,0.3683,rest,rest
0.70,0.3293,rest,rest
0.72,0.4073,rest,rest
0.74,0.3480,rest,rest
0.76,0.4074,rest,rest
0.78,0.4320,rest,rest
0.80,0.3588,rest,rest
0.82,0.3891,rest,rest
0.84,0.3502,rest,rest
0.86,0.3769,rest,rest
0.88,0.3800,rest,rest
0.90,0.3922,rest,rest
0.92,0.3882,rest,rest
0.94,0.4063,rest,rest
0.96,0.3579,rest,rest
0.98,0.3445,rest,rest
1.00,0.3909,rest,rest
1.02,0.4018,rest,rest
1.04,0.4112,rest,rest
1.06,0.3678,rest,rest
1.08,0.4162,rest,rest
1.10,0.3651,rest,rest
1.12,0.3896,rest,rest
1.14,0.4157,rest,rest
1.16,0.3811,rest,rest
1.18,0.4548,rest,rest
1.20,0.3556,rest,rest
1.22,0.3650,rest,rest
1.24,0.3883,rest,rest
1.26,0.4051,rest,rest
1.28,0.3904,rest,rest
1.30,0.3906,rest,rest
1.32,0.4030,rest,rest
1.34,0.3874,rest,rest
