frame_index,timestamp_ms,tracked,hand_index,handedness,handedness_score,landmark_index,normalized_x,normalized_y,normalized_z,pixel_x,pixel_y,world_x_m,world_y_m,world_z_m
0,510874260,true,0,Right,0.983979,0,0.69692320,0.55230027,-0.00000006,1338,596,-0.02245298,0.07323547,-0.01236750
0,510874260,true,0,Right,0.983979,1,0.69398212,0.51440477,0.00611225,1332,555,-0.02720253,0.05645948,0.00840247
0,510874260,true,0,Right,0.983979,2,0.69917190,0.48414776,0.00487327,1342,522,-0.01624546,0.03556292,0.03155485
0,510874260,true,0,Right,0.983979,3,0.70852232,0.46645999,0.00026826,1360,503,-0.00417061,0.01341858,0.05644754
0,510874260,true,0,Right,0.983979,4,0.71802574,0.45774174,-0.00372204,1378,494,0.00673111,0.00155923,0.06802055
0,510874260,true,0,Right,0.983979,5,0.69537491,0.45256165,0.00809309,1335,488,-0.01903341,-0.00246192,0.01691933
0,510874260,true,0,Right,0.983979,6,0.71186924,0.42196938,0.00419358,1366,455,0.00029403,-0.01526335,0.03012991
0,510874260,true,0,Right,0.983979,7,0.72188610,0.43013653,0.00131855,1386,464,0.01434310,-0.01577614,0.04516320
0,510874260,true,0,Right,0.983979,8,0.72383440,0.44491982,0.00012386,1389,480,0.01867283,-0.00305265,0.06274841
0,510874260,true,0,Right,0.983979,9,0.70358539,0.44829196,0.00172240,1350,484,-0.00572487,-0.00541429,0.00408098
0,510874260,true,0,Right,0.983979,10,0.72110814,0.41517764,0.00038070,1384,448,0.01803682,-0.02393631,0.01392689
0,510874260,true,0,Right,0.983979,11,0.72986984,0.42829520,-0.00071736,1401,462,0.02665785,-0.01920085,0.03234160
0,510874260,true,0,Right,0.983979,12,0.73179328,0.44317043,-0.00162167,1405,478,0.03359318,-0.00957874,0.05405451
0,510874260,true,0,Right,0.983979,13,0.71505773,0.45135766,-0.00496760,1372,487,0.01366681,0.00033646,-0.01146322
0,510874260,true,0,Right,0.983979,14,0.73234040,0.41830072,-0.00477746,1406,451,0.03146240,-0.01699860,0.00031593
0,510874260,true,0,Right,0.983979,15,0.73943233,0.43313634,-0.00360195,1419,467,0.04351720,-0.00970794,0.01465750
0,510874260,true,0,Right,0.983979,16,0.74027956,0.44837025,-0.00334744,1421,484,0.04772756,0.00180865,0.02976461
0,510874260,true,0,Right,0.983979,17,0.72894365,0.46151373,-0.01167505,1399,498,0.02285356,0.01185126,-0.02134728
0,510874260,true,0,Right,0.983979,18,0.74486744,0.44154271,-0.00957889,1430,476,0.04399340,0.00194317,-0.01303964
0,510874260,true,0,Right,0.983979,19,0.74871790,0.45305592,-0.00599035,1437,489,0.05472768,0.00614199,0.00169066
0,510874260,true,0,Right,0.983979,20,0.74677330,0.46677747,-0.00362409,1433,504,0.05590812,0.01469536,0.01013599
1,510874427,true,0,Right,0.940794,0,0.68366937,0.53787540,-0.00000002,1312,580,-0.01794083,0.07680179,-0.02628912
